257,1,703,539,0.19329
260,180,224,346,0.18663
260,321,276,206,0.18354
86,128,399,412,0.18043
260,173,613,367,0.16904
236,129,285,400,0.16872
259,320,185,207,0.16465
239,139,99,43,0.16424
239,36,249,463,0.16387
436,1,524,539,0.16344
258,180,309,318,0.1625
261,311,310,189,0.16158
843,142,36,46,0.15731
844,154,37,34,0.1565
272,1,219,444,0.15588
171,139,353,359,0.15557
87,180,339,360,0.15555
175,127,307,319,0.15503
353,128,607,412,0.15453
1,1,486,539,0.15318
86,1,483,539,0.15102
260,168,183,331,0.15084
262,128,223,317,0.14931
86,1,823,539,0.14908
348,335,219,164,0.14861
239,129,205,399,0.14699
261,1,476,525,0.14601
302,1,492,475,0.14499
290,19,201,359,0.14362
272,172,251,297,0.14341
397,1,524,458,0.14338
171,34,353,496,0.14279
173,128,255,371,0.14175
85,139,875,401,0.14166
493,337,28,31,0.14152
252,1,363,497,0.14095
110,139,375,283,0.14092
844,147,49,40,0.14044
260,286,222,215,0.13998
344,47,143,372,0.13947
302,1,189,300,0.13933
397,49,90,330,0.13926
397,1,381,457,0.13847
301,1,659,379,0.13806
224,321,259,206,0.13789
307,333,216,165,0.13755
472,337,49,34,0.13719
239,128,187,310,0.13708
305,172,121,130,0.13549
405,1,514,217,0.13537
305,128,121,174,0.1353
706,69,182,131,0.13486
286,172,196,207,0.13455
841,146,43,48,0.13388
353,184,129,275,0.13385
425,1,386,539,0.13383
491,337,44,30,0.13278
407,49,79,167,0.13277
344,1,333,459,0.13258
237,139,442,359,0.13248
408,334,159,146,0.13246
352,182,132,195,0.13172
707,35,187,162,0.13171
470,337,98,121,0.13121
101,180,452,319,0.13093
262,190,223,216,0.1309
239,128,599,370,0.13068
355,183,213,316,0.13
259,391,161,135,0.12995
176,132,162,57,0.12985
396,127,86,248,0.12904
454,364,115,112,0.12889
407,1,355,218,0.12885
303,19,125,280,0.12884
307,190,216,311,0.12881
259,392,221,107,0.12797
260,391,275,135,0.12755
368,335,200,123,0.12736
307,185,178,261,0.12714
438,214,48,161,0.12706
491,337,30,52,0.12655
78,19,413,426,0.12645
457,412,81,64,0.12473
441,215,81,162,0.12461
236,139,248,242,0.12449
162,173,265,265,0.12413
438,175,403,365,0.1241
467,215,62,162,0.12365
826,147,52,40,0.12342
473,1,287,196,0.12316
841,66,30,39,0.12291
675,1,285,539,0.12272
799,240,161,276,0.1226
304,127,217,318,0.12239
175,1,311,300,0.12224
179,320,388,178,0.12211
259,335,229,164,0.12167
237,126,191,173,0.12158
269,320,298,139,0.12156
353,128,129,296,0.12111
343,34,168,343,0.12099
453,337,115,155,0.12091
