253,178,60,37,0.25673
33,151,322,290,0.24669
86,104,269,337,0.23944
87,151,328,290,0.23857
32,87,400,354,0.23056
86,197,265,248,0.22099
101,160,213,132,0.20846
29,152,401,231,0.20824
925,51,35,24,0.2067
33,198,403,243,0.20391
598,488,99,52,0.19853
88,153,267,387,0.19431
31,104,325,384,0.19384
90,110,325,272,0.19148
78,24,343,418,0.19109
88,87,556,354,0.18992
247,178,78,39,0.18711
256,163,57,54,0.18441
84,178,457,263,0.18214
30,155,365,385,0.18124
254,153,177,200,0.18096
86,51,874,489,0.18035
88,135,674,405,0.17875
88,206,329,175,0.1784
107,154,244,195,0.17814
105,153,348,199,0.17678
330,141,314,276,0.17578
32,1,329,441,0.17461
113,153,281,139,0.17349
329,51,631,489,0.17282
84,201,331,339,0.17039
83,86,645,407,0.16959
117,85,339,353,0.16767
69,156,285,138,0.16622
86,234,308,206,0.16555
326,104,335,278,0.16274
89,141,558,241,0.16219
254,87,404,330,0.16188
83,152,447,388,0.16141
255,152,271,225,0.16097
253,141,408,237,0.16
33,210,323,171,0.1593
31,156,520,236,0.1579
108,82,351,269,0.15777
98,1,362,291,0.1571
329,153,198,264,0.15542
911,51,49,53,0.15515
281,86,471,454,0.15456
329,1,330,398,0.15437
32,1,424,380,0.15373
254,59,203,292,0.15302
100,87,358,205,0.15284
349,376,17,40,0.15089
255,91,176,287,0.15041
330,153,123,200,0.15001
597,487,132,53,0.14995
256,154,103,197,0.1498
101,131,332,161,0.14961
127,215,179,77,0.14938
284,151,139,222,0.14911
93,110,219,186,0.14898
69,256,285,185,0.14875
88,1,571,382,0.14868
252,50,395,301,0.14864
256,153,349,264,0.14834
934,52,26,25,0.14683
250,178,63,54,0.14649
108,162,205,79,0.14603
256,1,704,415,0.14593
129,211,219,139,0.14549
86,346,268,97,0.14495
325,130,391,330,0.14483
246,153,144,199,0.14481
87,226,509,215,0.14471
255,150,176,267,0.14446
256,68,270,312,0.14412
256,154,81,63,0.14327
281,51,365,406,0.14246
31,191,87,181,0.14206
925,49,35,35,0.14098
344,168,182,209,0.14075
100,1,213,293,0.13977
331,215,308,203,0.1395
335,219,191,163,0.13925
123,153,228,268,0.13908
254,178,96,39,0.13789
111,1,345,214,0.13775
86,256,257,121,0.13712
911,64,44,36,0.13709
327,65,129,307,0.13686
160,152,271,220,0.13672
815,1,35,87,0.13649
329,151,400,389,0.13589
29,78,406,273,0.13573
595,487,191,53,0.13571
330,64,197,353,0.13568
282,69,149,285,0.13564
294,208,232,191,0.13541
281,86,245,345,0.13482
254,86,204,183,0.13417
330,148,93,224,0.13377
105,50,541,301,0.13224
327,107,151,266,0.13152
350,96,478,444,0.13138
256,147,58,77,0.13136
100,104,265,188,0.13115
328,152,317,200,0.13114
331,182,308,202,0.1308
99,162,213,203,0.13057
256,1,505,382,0.13029
31,175,282,117,0.1301
256,154,103,115,0.12991
90,331,266,209,0.12966
153,110,278,309,0.12943
256,151,197,112,0.12941
349,381,21,45,0.12892
292,182,374,235,0.1288
335,170,139,202,0.12867
124,183,188,109,0.12811
376,128,270,258,0.12782
341,267,185,149,0.12769
326,55,247,345,0.12709
86,316,268,125,0.12655
384,97,274,322,0.12633
324,64,132,213,0.12593
334,207,101,165,0.1259
818,1,40,92,0.12568
328,109,198,242,0.12538
242,163,77,55,0.12529
343,177,293,272,0.12527
256,175,58,32,0.1252
128,218,293,133,0.12515
276,157,55,21,0.12501
925,51,35,43,0.12485
151,1,280,350,0.12463
99,177,292,173,0.1246
266,207,159,146,0.12445
325,50,386,301,0.12441
100,1,290,350,0.12438
325,86,107,287,0.12369
31,162,282,107,0.12351
253,129,179,135,0.12337
112,383,237,157,0.12323
916,49,44,27,0.1227
256,86,176,129,0.12265
330,131,316,180,0.12263
108,152,344,125,0.12244
598,183,241,357,0.12216
127,228,179,108,0.12187
330,51,314,276,0.12169
406,266,120,121,0.12139
328,151,103,118,0.12132
238,155,93,61,0.12109
256,86,212,345,0.12095
343,260,252,156,0.1206
934,31,26,28,0.12047
254,102,139,246,0.12046
325,214,91,136,0.1204
86,1,766,381,0.12002
109,1,203,214,0.11992
818,1,142,99,0.11971
157,208,267,164,0.11963
151,7,28,28,0.11954
85,239,679,301,0.11925
112,383,239,69,0.11847
256,150,135,67,0.1184
88,156,225,265,0.11827
256,151,270,321,0.11786
268,298,63,51,0.11747
334,219,144,154,0.11733
153,147,240,286,0.11731
343,267,213,117,0.11714
335,169,119,249,0.11707
284,151,109,197,0.11686
598,449,230,91,0.11666
247,176,96,177,0.11644
578,186,382,354,0.1164
596,487,64,53,0.11628
545,1,415,539,0.11584
348,206,77,147,0.11567
90,319,673,221,0.11552
597,489,68,41,0.11532
292,168,164,204,0.11517
255,176,382,175,0.11516
913,64,31,37,0.11483
162,65,326,309,0.11479
159,227,139,56,0.11436
254,129,533,253,0.11389
256,148,105,270,0.11384
244,153,190,132,0.11347
256,153,137,281,0.11335
328,153,126,132,0.11318
709,449,118,91,0.11299
69,331,285,163,0.11292
33,1,335,293,0.11288
344,86,315,454,0.11273
349,376,27,44,0.11268
325,86,108,187,0.11256
256,162,58,81,0.11251
334,218,193,240,0.11248
335,207,157,214,0.11227
596,461,143,79,0.11211
385,159,143,219,0.11188
293,207,161,146,0.11175
265,211,79,151,0.11166
347,109,109,242,0.11143
329,146,161,302,0.11135
313,337,41,80,0.11128
341,267,401,273,0.11076
94,201,214,91,0.11072
146,1,275,189,0.11019
29,85,429,184,0.11002
112,1,597,301,0.11
151,208,265,226,0.10994
322,258,208,140,0.10981
252,131,395,196,0.10956
32,177,137,195,0.10869
386,167,255,249,0.10865
335,219,75,153,0.10841
328,126,126,143,0.10837
129,226,201,160,0.10832
255,65,205,150,0.10787
162,210,191,163,0.10748
68,1,323,214,0.10747
181,98,173,333,0.10736
335,217,92,200,0.10686
916,51,44,17,0.10675
112,85,344,133,0.10669
351,177,81,176,0.10622
256,151,135,134,0.10612
129,182,509,204,0.10601
281,145,50,17,0.1058
328,353,26,66,0.1057
277,155,55,30,0.10563
355,86,200,297,0.10559
32,96,322,175,0.10557
181,83,252,133,0.10556
