629,225,68,117,0.31261
244,451,68,64,0.24335
628,226,91,115,0.2284
629,190,68,164,0.22053
598,226,100,115,0.20526
838,293,52,42,0.20394
629,226,76,152,0.20091
171,224,337,316,0.19846
400,225,108,81,0.19426
509,341,43,35,0.19249
773,113,39,35,0.1895
173,130,649,410,0.18752
400,146,297,259,0.18326
634,225,49,34,0.1832
631,226,54,27,0.18315
170,100,386,440,0.18254
626,226,122,117,0.18057
439,146,118,84,0.17674
223,451,88,66,0.17671
78,225,462,315,0.1753
399,146,162,263,0.17499
376,225,322,133,0.17324
400,226,142,151,0.16734
371,185,326,192,0.16718
509,353,47,43,0.16699
400,226,297,191,0.16691
627,151,70,191,0.16356
369,226,185,170,0.16275
400,226,106,112,0.16273
202,296,23,45,0.16131
371,225,172,132,0.16118
565,225,136,116,0.15985
506,355,45,21,0.15968
176,99,380,305,0.15915
376,226,130,130,0.15876
120,1,437,539,0.15808
445,340,121,130,0.15778
473,224,225,152,0.15711
79,131,487,409,0.1562
179,97,377,197,0.15577
439,145,258,206,0.15516
176,225,522,315,0.15506
174,1,786,539,0.15487
629,226,68,200,0.15389
244,430,67,84,0.15349
775,112,28,37,0.15332
377,141,322,321,0.15247
244,451,93,63,0.15193
171,226,376,247,0.15116
196,298,31,34,0.14905
509,345,54,31,0.14891
627,218,98,156,0.14837
179,105,611,312,0.14766
377,142,180,319,0.14697
636,225,45,17,0.14661
636,213,45,17,0.14659
792,173,104,162,0.14654
365,145,337,196,0.14635
399,225,148,236,0.14593
400,146,496,394,0.14588
775,106,36,49,0.14538
179,225,377,180,0.14535
356,141,200,265,0.14523
206,297,22,36,0.14498
634,226,54,42,0.14462
400,146,162,160,0.14386
625,217,151,124,0.14362
375,226,323,236,0.14352
445,340,89,129,0.14248
126,271,429,269,0.14192
399,223,121,173,0.14159
437,146,119,250,0.14097
493,345,58,31,0.14046
376,226,146,89,0.13927
591,218,108,156,0.13821
413,146,145,97,0.13656
175,207,251,333,0.13547
871,181,89,121,0.13438
173,105,726,254,0.13419
191,298,34,43,0.13338
397,185,255,214,0.13306
628,172,268,169,0.13299
496,214,201,211,0.13228
624,223,133,146,0.13217
186,298,39,33,0.13216
127,99,575,441,0.13178
375,168,182,209,0.13081
