589,176,147,166,0.21016
388,160,196,203,0.19246
374,161,586,379,0.18994
769,134,19,57,0.18891
132,74,828,466,0.18821
388,160,350,201,0.18716
373,160,365,380,0.18419
589,173,123,85,0.18252
430,199,155,164,0.18144
589,176,124,107,0.17774
847,166,44,49,0.17553
131,71,773,291,0.17515
374,389,279,151,0.17378
388,161,350,272,0.17209
579,176,134,68,0.17182
730,133,45,57,0.17093
719,136,17,45,0.16975
162,98,132,79,0.16932
373,1,587,539,0.16872
535,173,203,169,0.16796
752,134,21,57,0.16664
126,359,45,21,0.16601
248,158,491,382,0.16535
248,161,488,201,0.16245
691,176,21,50,0.16242
441,170,156,191,0.16055
593,234,36,24,0.15996
125,359,44,28,0.15943
682,176,30,49,0.15639
132,81,453,281,0.15607
613,205,124,136,0.15588
370,142,281,398,0.15552
135,1,601,361,0.1555
279,160,305,201,0.15499
374,426,42,114,0.15469
267,160,469,280,0.15462
442,277,103,67,0.15448
175,154,38,55,0.15341
430,197,218,164,0.15335
142,89,149,79,0.15273
567,166,171,208,0.15207
589,134,153,226,0.15085
162,98,131,110,0.1505
94,1,642,539,0.15003
386,160,258,269,0.14909
10,1,114,77,0.14793
589,196,52,45,0.14717
769,133,27,62,0.14596
581,133,379,407,0.1457
586,196,43,48,0.14564
245,309,70,36,0.14424
566,176,149,162,0.14414
133,73,518,467,0.14386
442,277,109,85,0.14365
251,36,486,326,0.14349
267,192,377,169,0.14324
171,166,48,43,0.14311
565,176,173,127,0.14156
174,161,412,201,0.14115
724,133,63,57,0.14103
255,197,397,343,0.14083
613,239,124,102,0.14078
730,136,24,44,0.1407
712,136,24,44,0.1407
267,40,317,322,0.14046
142,89,61,42,0.14029
172,36,473,326,0.13962
588,176,257,163,0.13848
589,190,46,55,0.13842
267,1,655,361,0.1384
589,196,17,45,0.13817
138,61,154,116,0.13705
587,132,202,209,0.13699
769,76,146,139,0.13698
589,192,23,45,0.13657
374,305,276,235,0.13635
709,277,26,44,0.13623
844,160,48,60,0.13612
299,1,438,522,0.13606
576,1,384,539,0.13606
593,233,43,39,0.13601
769,125,78,67,0.13511
250,1,401,539,0.13496
431,136,343,227,0.13494
171,160,568,314,0.13483
388,161,502,200,0.13431
748,133,27,62,0.13403
743,133,30,58,0.13375
730,119,43,77,0.13354
585,168,317,179,0.13346
230,161,417,270,0.13313
673,173,39,52,0.13311
661,289,52,36,0.13277
589,190,34,52,0.13221
594,1,327,217,0.13189
146,81,58,53,0.13073
565,220,173,121,0.13048
845,305,35,43,0.12941
142,84,188,93,0.12935
430,196,309,154,0.12848
112,359,61,28,0.12763
829,166,64,47,0.12724
386,196,331,210,0.1271
559,1,38,52,0.12686
374,275,586,265,0.12681
850,187,34,28,0.1268
1,1,596,539,0.12657
836,161,54,54,0.12641
138,89,164,120,0.12583
387,161,516,296,0.12567
297,37,350,325,0.12549
172,135,130,105,0.12531
576,75,327,465,0.12523
387,75,516,287,0.1248
768,133,39,60,0.12478
175,162,111,51,0.1243
619,175,94,161,0.12378
585,176,150,258,0.12362
174,96,120,149,0.12331
442,261,101,92,0.12326
146,1,146,207,0.12292
373,159,211,381,0.1228
593,216,143,142,0.12245
1,1,637,380,0.12159
679,166,32,61,0.12085
383,388,268,119,0.12071
604,220,154,121,0.12054
755,133,90,61,0.12037
370,254,368,286,0.12023
244,298,72,48,0.11975
115,1,331,176,0.11949
174,71,562,268,0.11948
388,160,209,298,0.1193
586,1,334,347,0.11922
94,158,491,382,0.11891
703,274,32,49,0.11874
229,297,96,48,0.11869
292,265,112,58,0.11829
850,147,40,68,0.11726
117,1,177,177,0.1171
438,196,208,215,0.11634
773,236,187,304,0.11614
159,1,191,177,0.11597
581,191,61,54,0.1158
441,1,480,364,0.11568
589,197,47,78,0.11558
1,276,650,264,0.11524
582,174,155,333,0.11462
731,136,30,49,0.11453
252,305,400,235,0.11416
528,172,209,272,0.11387
412,1,509,241,0.11377
272,390,384,150,0.11352
10,1,282,208,0.11348
858,305,22,36,0.11345
384,158,160,191,0.11326
228,199,193,146,0.11318
687,130,273,410,0.11312
423,277,149,85,0.11298
174,160,413,292,0.11297
589,190,69,51,0.11278
10,32,114,45,0.11234
696,136,43,43,0.11181
610,116,127,223,0.11145
526,216,234,132,0.11143
10,1,188,91,0.11141
595,232,34,49,0.11134
559,1,57,51,0.11106
229,69,314,280,0.11078
763,127,106,67,0.1107
161,1,436,539,0.11056
559,1,365,177,0.1104
162,19,136,159,0.11034
661,276,76,51,0.11019
298,307,105,52,0.10995
586,231,43,43,0.10986
245,307,161,45,0.10983
589,196,27,44,0.10962
615,283,121,57,0.10919
431,196,225,344,0.1086
160,1,760,245,0.10797
616,177,160,164,0.10784
139,82,282,95,0.1078
160,97,170,115,0.10753
589,176,173,67,0.10749
652,175,60,51,0.10717
384,69,261,292,0.10703
1,340,168,116,0.10702
527,105,209,247,0.10699
816,291,144,249,0.10695
431,174,425,366,0.10685
769,133,57,57,0.10676
10,1,195,130,0.10669
533,172,203,113,0.10668
6,1,441,180,0.10667
589,174,257,111,0.1064
430,173,309,154,0.10634
245,281,70,64,0.10633
610,250,152,89,0.10623
743,125,37,68,0.10599
690,133,87,188,0.10594
1,1,445,539,0.10586
397,275,147,69,0.10586
589,146,124,95,0.10574
94,71,357,469,0.10571
256,329,45,17,0.10565
146,82,275,162,0.10555
140,88,173,155,0.10526
11,1,150,117,0.10516
589,107,301,234,0.10501
594,232,51,105,0.10477
386,1,259,429,0.10474
134,79,319,290,0.10468
431,1,305,362,0.10456
587,132,316,326,0.10443
142,44,212,136,0.10436
690,176,48,111,0.10418
229,282,90,67,0.10413
173,159,121,84,0.10393
429,275,114,57,0.10336
732,127,21,51,0.10334
373,424,64,116,0.10317
1,1,447,375,0.10316
94,295,325,245,0.10295
442,310,31,31,0.10272
173,134,121,85,0.10252
731,136,43,43,0.10248
138,76,77,55,0.10239
847,298,32,55,0.10235
689,174,72,113,0.10219
574,254,161,85,0.10168
267,264,151,276,0.10147
588,175,300,217,0.10127
374,387,445,153,0.10122
139,68,64,64,0.10077
776,169,114,45,0.1007
558,1,73,136,0.10066
614,219,124,159,0.10044
767,116,31,77,0.10044
123,35,168,174,0.1002
526,176,188,73,0.10018
278,206,135,132,0.099924
350,426,37,114,0.099692
256,195,341,234,0.09959
588,196,93,47,0.099565
686,168,204,182,0.099551
309,70,40,43,0.099539
812,169,81,49,0.099247
850,157,40,77,0.099243
761,131,54,61,0.099205
117,1,86,131,0.099165
299,42,246,310,0.09909
431,141,216,220,0.099003
628,252,97,88,0.098982
146,87,149,192,0.098737
325,1,123,72,0.098727
94,298,632,242,0.098501
587,169,304,133,0.098461
513,173,20,32,0.098426
845,185,39,35,0.098333
56,88,235,89,0.098283
146,1,276,207,0.098087
117,5,331,127,0.098044
731,97,43,93,0.097983
595,233,41,56,0.097936
769,109,103,88,0.097741
227,204,318,143,0.097659
589,1,153,340,0.097585
587,143,128,164,0.097582
383,216,202,146,0.097499
371,425,143,115,0.097384
685,136,52,41,0.097115
861,306,19,40,0.09697
766,128,40,77,0.096841
769,109,121,106,0.096805
118,1,235,135,0.096774
305,424,99,116,0.096627
174,111,121,67,0.096275
850,166,54,48,0.096271
586,232,51,48,0.096218
661,287,60,43,0.096075
768,76,192,464,0.09597
1,1,291,382,0.095678
1,197,734,333,0.095417
439,268,106,120,0.095385
146,1,565,242,0.095354
230,297,187,243,0.095313
373,320,354,220,0.095284
847,307,32,61,0.095192
371,425,279,115,0.095124
271,424,145,116,0.09502
146,83,423,157,0.094984
256,307,209,73,0.09492
56,89,235,119,0.094717
642,176,93,151,0.09432
256,307,150,73,0.094184
117,1,168,132,0.09416
429,197,171,137,0.094089
487,171,249,369,0.094046
226,265,176,80,0.094025
